verdict,strategy,timeframe,regime,session,n_trades,avg_r,win_rate,expectancy_R,pct_of_fires,low_confidence
KEEP,liquidity_sweep,15m,high_vol,ny,3924,-0.31388216558662885,0.2798165137614679,-0.08782941330635027,0.10529987924325775,False
KEEP,liquidity_sweep,4h,trend,london,363,-0.3715094901608264,0.2396694214876033,-0.08903946458399972,0.009741043874949685,False
KEEP,liquidity_sweep,1h,high_vol,asia,477,-0.6689022000793269,0.13626834381551362,-0.09115019497936319,0.012800214678652892,False
KEEP,liquidity_sweep,4h,high_vol,london,143,-0.6865425486649809,0.13286713286713286,-0.09121894003241005,0.003837380920434724,False
KEEP,liquidity_sweep,4h,trend,asia,292,-0.3881799289237132,0.2363013698630137,-0.09172744895800072,0.007835770830538038,False
KEEP,liquidity_sweep,1h,high_vol,off,63,-0.6680391913734753,0.14285714285714285,-0.09543417019621075,0.0016905943915201931,False
KEEP,liquidity_sweep,4h,range,london,197,-0.4041195138088258,0.23857868020304568,-0.09641430024880616,0.005286461827452032,False
KEEP,liquidity_sweep,15m,high_vol,asia,1498,-0.36745246259641345,0.2650200267022697,-0.09738226144911626,0.040198577753924596,False
KEEP,liquidity_sweep,15m,trend,asia,502,-0.45489691492701234,0.24302788844621515,-0.11055263669540938,0.013471085468938682,False
KEEP,liquidity_sweep,15m,range,off,1082,-0.46647880717611545,0.23937153419593346,-0.11166174774363577,0.029035287803569034,False
KEEP,liquidity_sweep,15m,unknown,london,40,-0.7469659574468095,0.15,-0.11204489361702143,0.0010733932644572655,False
KEEP,liquidity_sweep,15m,trend,ny,864,-0.5212210033799045,0.21643518518518517,-0.11281056438893766,0.023185294512276935,False
KEEP,liquidity_sweep,15m,unknown,off,50,-0.7143624292388009,0.16,-0.11429798867820815,0.001341741580571582,False
KEEP,liquidity_sweep,15m,trend,london,327,-0.5995082159528852,0.1926605504587156,-0.11550158289000541,0.008774989936938146,False
KEEP,marubozu,15m,unknown,off,2,1.8000000000000012,1.0,1.8000000000000012,0.0005961251862891207,True
KEEP,marubozu,1d,trend,asia,11,0.8782796679785944,0.6363636363636364,0.5589052432591055,0.003278688524590164,True
KEEP,marubozu,1h,range,london,88,0.7651039887184304,0.6477272727272727,0.49557871996534697,0.02622950819672131,False
KEEP,marubozu,4h,range,asia,16,0.9866540261557994,0.5,0.4933270130778997,0.004769001490312966,True
KEEP,marubozu,4h,high_vol,asia,20,0.9255422056596366,0.5,0.4627711028298183,0.005961251862891207,True
KEEP,marubozu,15m,range,off,85,0.5470588235294125,0.5764705882352941,0.31536332179930837,0.02533532041728763,False
KEEP,marubozu,15m,trend,asia,70,0.39797356081803364,0.5285714285714286,0.21035745357524635,0.020864381520119227,False
KEEP,marubozu,4h,high_vol,london,21,0.20284590058326432,0.2857142857142857,0.05795597159521838,0.0062593144560357675,True
KEEP,marubozu,1h,high_vol,off,26,-1.1641150022429032,0.0,-0.0,0.007749627421758569,True
KEEP,marubozu,1h,unknown,ny,2,-1.1999999999999982,0.0,-0.0,0.0005961251862891207,True
KEEP,marubozu,1h,unknown,asia,10,-1.199999999999999,0.0,-0.0,0.0029806259314456036,True
KEEP,marubozu,4h,trend,asia,57,-1.1263656570972143,0.0,-0.0,0.01698956780923994,False
KEEP,marubozu,4h,high_vol,ny,39,-1.0669526737678647,0.0,-0.0,0.011624441132637855,False
KEEP,marubozu,4h,unknown,asia,14,-1.1999999999999993,0.0,-0.0,0.004172876304023845,True
KEEP,marubozu,4h,unknown,ny,2,-1.1520044648719632,0.0,-0.0,0.0005961251862891207,True
KEEP,marubozu,1h,trend,london,28,-1.1670460289059896,0.0,-0.0,0.00834575260804769,True
KEEP,marubozu,1h,unknown,london,14,-1.1816832678025337,0.0,-0.0,0.004172876304023845,True
KEEP,marubozu,15m,unknown,london,2,-1.1999999999999977,0.0,-0.0,0.0005961251862891207,True
KEEP,marubozu,1h,trend,off,8,-1.2000000000000004,0.0,-0.0,0.002384500745156483,True
KEEP,marubozu,4h,trend,ny,35,-0.0034152866447730128,0.2857142857142857,-0.0009757961842208607,0.010432190760059613,False
KEEP,marubozu,1d,unknown,asia,11,-0.005037101848093311,0.36363636363636365,-0.0018316733993066587,0.003278688524590164,True
KEEP,marubozu,15m,high_vol,off,62,-0.01639924309284205,0.3870967741935484,-0.0063480941004549875,0.018479880774962744,False
KEEP,marubozu,1h,trend,asia,90,-0.03794816930277024,0.37777777777777777,-0.014335975069935425,0.026825633383010434,False
KEEP,marubozu,15m,range,asia,314,-0.06661051333048004,0.37261146496815284,-0.02481984095435084,0.09359165424739195,False
KEEP,marubozu,15m,trend,london,22,-0.09545454545454617,0.36363636363636365,-0.034710743801653156,0.006557377049180328,True
KEEP,marubozu,1h,high_vol,ny,138,-0.1500641668343478,0.3333333333333333,-0.0500213889447826,0.04113263785394933,False
KEEP,marubozu,1d,high_vol,asia,10,-0.1795283797628599,0.3,-0.053858513928857966,0.0029806259314456036,True
KEEP,marubozu,15m,high_vol,asia,274,-0.1587038326641528,0.33941605839416056,-0.05386662933491317,0.08166915052160954,False
KEEP,marubozu,15m,unknown,ny,36,-1.0333333333333328,0.05555555555555555,-0.05740740740740737,0.010730253353204173,False
KEEP,marubozu,4h,range,london,44,-0.3382885013211184,0.18181818181818182,-0.06150700024020334,0.013114754098360656,False
KEEP,marubozu,15m,unknown,asia,6,-0.2000000000000007,0.3333333333333333,-0.0666666666666669,0.0017883755588673621,True
KEEP,marubozu,4h,trend,london,49,-0.4364941241154322,0.16326530612244897,-0.07126434679435627,0.014605067064083458,False
